p1_category	p1	p2_category	p2	rg	se	z	p	q
Anthropometric	Height	Hematological	MCV	0.0267	0.0257	1.0413	0.29772	0.673524853
Anthropometric	Height	Hematological	MCH	-0.0011	0.0271	-0.0423	0.96627	0.992813323
Anthropometric	Height	Hematological	MCHC	-0.0816	0.0408	-1.9985	0.04566	0.278078631
Anthropometric	Height	Hematological	Plt	-0.0932	0.0258	-3.6183	0.00029654	0.007530769
Anthropometric	Height	Blood pressure	SBP	-0.026	0.0297	-0.875	0.38156	0.736547014
Anthropometric	Height	Blood pressure	DBP	0.0327	0.0302	1.0853	0.27777	0.660088532
Anthropometric	Height	Blood pressure	MAP	0.0058	0.029	0.1993	0.842	0.950496397
Anthropometric	Height	Blood pressure	PP	-0.0743	0.0363	-2.0505	0.040316	0.259780624
Anthropometric	Height	Echocardiographic	IVS	0.1728	0.0839	2.0604	0.039361	0.256042651
Anthropometric	Height	Echocardiographic	PW	0.1637	0.0615	2.6614	0.0077814	0.08905532
Anthropometric	Height	Echocardiographic	LVDd	0.211	0.0563	3.7465	0.00017929	0.004875692
Anthropometric	Height	Echocardiographic	LVDs	0.1509	0.0526	2.8678	0.0041337	0.056798488
Anthropometric	Height	Echocardiographic	LVM	0.2392	0.0545	4.3872	1.15E-05	0.000424258
Anthropometric	Height	Echocardiographic	LVMI	-0.0239	0.0584	-0.4098	0.68193	0.894332565
Anthropometric	Height	Echocardiographic	RWT	-0.0153	0.0638	-0.2399	0.81042	0.93811489
Anthropometric	Height	Echocardiographic	FS	-0.0511	0.0658	-0.7769	0.43722	0.769853201
Anthropometric	Height	Echocardiographic	EF	-0.029	0.0654	-0.4439	0.65709	0.881635705
Anthropometric	Height	Metabolic disease	T2D	0.029	0.0306	0.9493	0.34247	0.710021175
Anthropometric	Height	Cardiovascular disease	IS	-0.0026	0.0489	-0.0542	0.95675	0.98966028
Anthropometric	Height	Cardiovascular disease	CeAn	0.0408	0.0518	0.7866	0.4315	0.76807
Anthropometric	Height	Cardiovascular disease	MI	-0.0674	0.0314	-2.1481	0.031704	0.227386198
Anthropometric	Height	Cardiovascular disease	PAD	0.0086	0.0456	0.1882	0.85071	0.955113746
Anthropometric	Height	Cardiovascular disease	AF	0.193	0.0401	4.8079	1.53E-06	6.71E-05
Anthropometric	Height	Allergic disease	Asthma	-0.0301	0.0384	-0.7825	0.4339	0.768499502
Anthropometric	Height	Allergic disease	AD	0.0235	0.06	0.3911	0.69571	0.898252674
Anthropometric	Height	Autoimmune disease	GD	-0.0492	0.0467	-1.0544	0.29169	0.669365457
Anthropometric	Height	Autoimmune disease	RA	-0.0745	0.0424	-1.7561	0.07908	0.370427368
Anthropometric	Height	Infectious disease	CHB	0.1258	0.0876	1.437	0.15072	0.49598279
Anthropometric	Height	Infectious disease	CHC	0.1133	0.0576	1.9669	0.049194	0.289254811
Anthropometric	Height	Hematologic disease	Anemia	-0.0261	0.0898	-0.2905	0.77147	0.921621879
Anthropometric	Height	Psychiatric disease	BD	-0.0908	0.0459	-1.9791	0.047805	0.28537253
Anthropometric	Height	Psychiatric disease	SCZ	0.0029	0.0404	0.0713	0.94312	0.985312763
Anthropometric	Height	Musculoskeletal disease	AIS	0.0313	0.0436	0.7177	0.47292	0.789073166
Anthropometric	Height	Musculoskeletal	Osteoporosis	0.0576	0.0982	0.5864	0.55761	0.836306167
Anthropometric	Height	Tumor	LuCa	0.1735	0.1	1.7345	0.082825	0.380453402
Anthropometric	Height	Tumor	GaCa	0.1388	0.0577	2.4057	0.016143	0.146333306
Anthropometric	Height	Tumor	EsCa	0.0776	0.0622	1.2468	0.21246	0.587317151
Anthropometric	Height	Tumor	CoCa	0.1642	0.0552	2.9756	0.0029245	0.045213675
Anthropometric	Height	Tumor	PrCa	0.0338	0.0417	0.8111	0.41731	0.760086493
Anthropometric	Height	Tumor	BrCa	0.0904	0.0521	1.7351	0.082725	0.380453402
Anthropometric	Height	Tumor	EnCa	0.1243	0.0957	1.2994	0.19379	0.566316092
Anthropometric	Height	Tumor	UF	0.0649	0.0556	1.168	0.2428	0.625529474
Anthropometric	Height	Other	Glaucoma	0.001	0.0595	0.0168	0.98656	0.995429715
Anthropometric	Height	Other	COPD	0.1429	0.0586	2.4392	0.014719	0.137311743
Anthropometric	Height	Other	Epilepsy	0.217	0.1096	1.9801	0.047691	0.28512665
Anthropometric	Height	Other	Pollinosis	0.0687	0.0635	1.083	0.27881	0.660088532
Anthropometric	Height	Other	Urolithiasis	-0.0451	0.0529	-0.8524	0.39401	0.743398651
Anthropometric	BMI	Metabolic	TC	-0.1554	0.0436	-3.5674	0.00036058	0.008825196
Anthropometric	BMI	Metabolic	HDL-C	-0.2588	0.0752	-3.4427	0.00057588	0.013111314
Anthropometric	BMI	Metabolic	LDL-C	0.0127	0.0578	0.2203	0.82564	0.942900624
Anthropometric	BMI	Metabolic	TG	0.1899	0.0553	3.4337	0.0005955	0.013479642
Anthropometric	BMI	Metabolic	BS	0.0886	0.0514	1.7261	0.084328	0.383863512
Anthropometric	BMI	Metabolic	HbA1c	-8.00E-04	0.0573	-0.0138	0.98896	0.995429715
Anthropometric	BMI	Protein	TP	0.0428	0.0375	1.1415	0.25365	0.637543902
Anthropometric	BMI	Protein	Alb	-0.1417	0.0451	-3.1423	0.0016761	0.0295658
Anthropometric	BMI	Protein	NAP	0.1327	0.0376	3.5264	0.00042119	0.009936024
Anthropometric	BMI	Protein	A/G	-0.1511	0.0382	-3.9538	7.69E-05	0.002264449
Anthropometric	BMI	Kidney-related	BUN	0.0361	0.0414	0.8729	0.38272	0.736761118
Anthropometric	BMI	Kidney-related	sCr	0.1474	0.0382	3.8612	0.00011282	0.00317844
Anthropometric	BMI	Kidney-related	eGFR	-0.1393	0.0373	-3.7332	0.00018908	0.005103138
Anthropometric	BMI	Kidney-related	UA	0.1685	0.0563	2.9953	0.0027418	0.043293906
Anthropometric	BMI	Electrolyte	Na	-0.014	0.0382	-0.3662	0.71419	0.903018476
Anthropometric	BMI	Electrolyte	K	0.0407	0.0395	1.0299	0.30305	0.67998239
Anthropometric	BMI	Electrolyte	Cl	0.039	0.0399	0.9772	0.32846	0.701335529
Anthropometric	BMI	Electrolyte	Ca	0.052	0.0514	1.0114	0.31182	0.684325925
Anthropometric	BMI	Electrolyte	P	0.0338	0.0691	0.4885	0.62518	0.866757962
Anthropometric	BMI	Liver-related	TBil	-0.0851	0.0456	-1.8664	0.061979	0.323613019
Anthropometric	BMI	Liver-related	ZTT	0.0263	0.0844	0.3112	0.75566	0.916717646
Anthropometric	BMI	Liver-related	AST	-0.0128	0.0381	-0.3355	0.73725	0.910260126
Anthropometric	BMI	Liver-related	ALT	0.1215	0.0389	3.1222	0.0017953	0.031051982
Anthropometric	BMI	Liver-related	ALP	0.0259	0.0304	0.8523	0.39405	0.743398651
Anthropometric	BMI	Liver-related	GGT	0.0467	0.0377	1.2374	0.21594	0.592586573
Anthropometric	BMI	Other biochemical	APTT	-0.0351	0.0668	-0.5257	0.5991	0.861692511
Anthropometric	BMI	Other biochemical	PT	0.096	0.058	1.6564	0.09765	0.407673134
Anthropometric	BMI	Other biochemical	Fbg	0.3813	0.2424	1.5728	0.11576	0.440226835
Anthropometric	BMI	Other biochemical	CK	0.0234	0.0394	0.593	0.55321	0.835146631
Anthropometric	BMI	Other biochemical	LDH	0.0992	0.0449	2.2092	0.027159	0.20894822
Anthropometric	BMI	Other biochemical	CRP	0.3992	0.1462	2.7307	0.0063203	0.076389799
Anthropometric	BMI	Hematological	WBC	0.1453	0.0339	4.2853	1.83E-05	0.00062152
Anthropometric	BMI	Hematological	Neutro	0.0577	0.0398	1.4477	0.1477	0.48850777
Anthropometric	BMI	Hematological	Eosino	0.037	0.0418	0.885	0.37616	0.731614417
Anthropometric	BMI	Hematological	Baso	-0.0096	0.0559	-0.1712	0.8641	0.959381315
Anthropometric	BMI	Hematological	Mono	0.0383	0.0397	0.9658	0.33413	0.705745998
Anthropometric	BMI	Hematological	Lym	0.1672	0.0472	3.5399	0.00040027	0.009557667
Anthropometric	BMI	Hematological	RBC	0.0471	0.036	1.3083	0.19079	0.560490353
Anthropometric	BMI	Hematological	Hb	0.0576	0.0387	1.4885	0.13662	0.475275808
Anthropometric	BMI	Hematological	Ht	0.0379	0.038	0.9977	0.31841	0.692334014
Anthropometric	BMI	Hematological	MCV	-0.0307	0.0316	-0.9689	0.33262	0.704901156
Anthropometric	BMI	Hematological	MCH	-0.0143	0.0343	-0.4153	0.67793	0.893111261
Anthropometric	BMI	Hematological	MCHC	0.0607	0.0455	1.3349	0.18191	0.547547702
Anthropometric	BMI	Hematological	Plt	-0.069	0.0331	-2.0864	0.036946	0.247656928
Anthropometric	BMI	Blood pressure	SBP	0.2734	0.036	7.5917	3.16E-14	2.58E-12
Anthropometric	BMI	Blood pressure	DBP	0.2811	0.0367	7.6659	1.78E-14	1.48E-12
Anthropometric	BMI	Blood pressure	MAP	0.2897	0.0349	8.3069	9.83E-17	9.39E-15
Anthropometric	BMI	Blood pressure	PP	0.2071	0.0428	4.8341	1.34E-06	5.95E-05
Anthropometric	BMI	Echocardiographic	IVS	0.4938	0.1372	3.5978	0.00032094	0.007954437
Anthropometric	BMI	Echocardiographic	PW	0.439	0.0751	5.8461	5.03E-09	2.99E-07
Anthropometric	BMI	Echocardiographic	LVDd	0.3671	0.0614	5.9743	2.31E-09	1.44E-07
Anthropometric	BMI	Echocardiographic	LVDs	0.2679	0.0606	4.4181	9.96E-06	0.00037501
Anthropometric	BMI	Echocardiographic	LVM	0.5169	0.0628	8.2298	1.88E-16	1.71E-14
Anthropometric	BMI	Echocardiographic	LVMI	0.3778	0.0718	5.2601	1.44E-07	7.14E-06
Anthropometric	BMI	Echocardiographic	RWT	0.1058	0.0685	1.5449	0.12237	0.451224972
Anthropometric	BMI	Echocardiographic	FS	-0.1034	0.0736	-1.4055	0.15987	0.511381649
Anthropometric	BMI	Echocardiographic	EF	-0.0751	0.0708	-1.061	0.28869	0.666574316
Anthropometric	BMI	Metabolic disease	T2D	0.295	0.0462	6.3807	1.76E-10	1.23E-08
Anthropometric	BMI	Cardiovascular disease	IS	0.2479	0.057	4.3465	1.38E-05	0.000496865
Anthropometric	BMI	Cardiovascular disease	CeAn	0.0856	0.061	1.4029	0.16065	0.512300814
Anthropometric	BMI	Cardiovascular disease	MI	0.1607	0.0472	3.4047	0.00066236	0.01457192
Anthropometric	BMI	Cardiovascular disease	PAD	0.1587	0.0606	2.6191	0.0088151	0.098347383
Anthropometric	BMI	Cardiovascular disease	AF	0.1247	0.0488	2.5538	0.010655	0.11067634
Anthropometric	BMI	Allergic disease	Asthma	0.1416	0.0449	3.1568	0.0015949	0.028610046
Anthropometric	BMI	Allergic disease	AD	-0.0424	0.0674	-0.629	0.52935	0.821816758
Anthropometric	BMI	Autoimmune disease	GD	0.0139	0.0513	0.2706	0.7867	0.927336611
Anthropometric	BMI	Autoimmune disease	RA	-0.1263	0.0448	-2.8188	0.0048209	0.062512068
Anthropometric	BMI	Infectious disease	CHB	0.0157	0.0891	0.1759	0.86035	0.957961796
Anthropometric	BMI	Infectious disease	CHC	-0.0253	0.0724	-0.349	0.72706	0.906436258
Anthropometric	BMI	Hematologic disease	Anemia	-0.062	0.0979	-0.6335	0.52639	0.820085792
Anthropometric	BMI	Psychiatric disease	BD	-0.108	0.0641	-1.6856	0.09188	0.401117146
Anthropometric	BMI	Psychiatric disease	SCZ	-0.1491	0.0488	-3.054	0.0022584	0.03684956
Anthropometric	BMI	Musculoskeletal disease	AIS	-0.1457	0.0456	-3.1942	0.001402	0.02565529
Anthropometric	BMI	Musculoskeletal	Osteoporosis	-0.2895	0.1499	-1.9315	0.053417	0.302284642
Anthropometric	BMI	Tumor	LuCa	-0.1377	0.1026	-1.3427	0.17938	0.544536496
Anthropometric	BMI	Tumor	GaCa	-0.027	0.069	-0.3918	0.69517	0.898045224
Anthropometric	BMI	Tumor	EsCa	0.0091	0.0754	0.1202	0.90432	0.972109646
Anthropometric	BMI	Tumor	CoCa	0.1175	0.0743	1.5805	0.114	0.437670588
Anthropometric	BMI	Tumor	PrCa	-0.0723	0.0523	-1.383	0.16667	0.521309681
Anthropometric	BMI	Tumor	BrCa	0.0465	0.0628	0.7408	0.45879	0.779564321
Anthropometric	BMI	Tumor	EnCa	0.2327	0.0985	2.363	0.018128	0.159168717
Anthropometric	BMI	Tumor	UF	-0.0074	0.0669	-0.1101	0.91233	0.975610126
Anthropometric	BMI	Other	Glaucoma	-0.0257	0.058	-0.4425	0.65814	0.881635705
Anthropometric	BMI	Other	COPD	-0.0535	0.0639	-0.8382	0.40193	0.747740304
Anthropometric	BMI	Other	Epilepsy	0.1908	0.1194	1.5987	0.10989	0.431034394
Anthropometric	BMI	Other	Pollinosis	-0.0608	0.0755	-0.8045	0.42113	0.763466112
Anthropometric	BMI	Other	Urolithiasis	0.052	0.053	0.98	0.32711	0.700362362
Metabolic	TC	Metabolic	HDL-C	0.414	0.113	3.6622	0.00025009	0.006529016
Metabolic	TC	Metabolic	LDL-C	0.8679	0.0678	12.7995	1.65E-37	2.59E-35
Metabolic	TC	Metabolic	TG	0.0126	0.1083	0.116	0.90767	0.973402651
Metabolic	TC	Metabolic	BS	-0.0653	0.0845	-0.7729	0.4396	0.76994827
Metabolic	TC	Metabolic	HbA1c	0.0788	0.078	1.0091	0.31294	0.684589391
Metabolic	TC	Protein	TP	0.0929	0.0618	1.5039	0.13261	0.469530524
Metabolic	TC	Protein	Alb	0.1063	0.0842	1.2627	0.20671	0.582357094
Metabolic	TC	Protein	NAP	0.0657	0.0607	1.0828	0.27891	0.660088532
Metabolic	TC	Protein	A/G	-0.012	0.0668	-0.1802	0.85703	0.957778095
Metabolic	TC	Kidney-related	BUN	0.0022	0.0589	0.0374	0.97016	0.993040417
Metabolic	TC	Kidney-related	sCr	-0.0385	0.0619	-0.6219	0.53403	0.82404115
Metabolic	TC	Kidney-related	eGFR	0.0614	0.0617	0.9948	0.31982	0.693858792
Metabolic	TC	Kidney-related	UA	-0.128	0.0443	-2.8901	0.0038511	0.05366871
Metabolic	TC	Electrolyte	Na	-0.1082	0.0712	-1.5189	0.12878	0.460971188
Metabolic	TC	Electrolyte	K	-0.0147	0.0659	-0.223	0.8235	0.941862562
Metabolic	TC	Electrolyte	Cl	-0.1277	0.0876	-1.4586	0.14467	0.486827708
Metabolic	TC	Electrolyte	Ca	0.2762	0.0855	3.2292	0.0012414	0.023259916
Metabolic	TC	Electrolyte	P	0.2163	0.1072	2.0176	0.04363	0.272062229
Metabolic	TC	Liver-related	TBil	-0.0461	0.0666	-0.6929	0.48839	0.796671953
Metabolic	TC	Liver-related	ZTT	-0.005	0.1392	-0.0358	0.97143	0.993040417
Metabolic	TC	Liver-related	AST	0.1398	0.0727	1.924	0.054348	0.305346869
Metabolic	TC	Liver-related	ALT	0.0766	0.0741	1.0336	0.30133	0.678165678
Metabolic	TC	Liver-related	ALP	0.0228	0.0876	0.2603	0.79465	0.93197047
Metabolic	TC	Liver-related	GGT	0.1084	0.0841	1.2892	0.19734	0.571162927
Metabolic	TC	Other biochemical	APTT	-0.0954	0.1022	-0.9336	0.35049	0.71336738
Metabolic	TC	Other biochemical	PT	-0.2613	0.103	-2.5359	0.011216	0.114071254
Metabolic	TC	Other biochemical	Fbg	0.7098	0.4891	1.4513	0.1467	0.488126255
Metabolic	TC	Other biochemical	CK	0.0787	0.0626	1.2579	0.20843	0.582592348
Metabolic	TC	Other biochemical	LDH	0.1016	0.0896	1.1349	0.25641	0.641238748
Metabolic	TC	Other biochemical	CRP	-0.0395	0.1657	-0.2383	0.81167	0.93811489
Metabolic	TC	Hematological	WBC	-0.1414	0.0568	-2.4878	0.012855	0.125734314
Metabolic	TC	Hematological	Neutro	-0.1212	0.065	-1.8652	0.062149	0.323993094
Metabolic	TC	Hematological	Eosino	-0.0658	0.0762	-0.864	0.38759	0.738589995
Metabolic	TC	Hematological	Baso	-0.0198	0.0875	-0.2267	0.82069	0.941089909
Metabolic	TC	Hematological	Mono	-0.1151	0.0751	-1.5328	0.12532	0.456417807
Metabolic	TC	Hematological	Lym	-0.0047	0.0768	-0.061	0.95138	0.989273521
Metabolic	TC	Hematological	RBC	-0.0282	0.0547	-0.5163	0.60565	0.863701894
Metabolic	TC	Hematological	Hb	-0.0989	0.0671	-1.4735	0.14061	0.483431747
Metabolic	TC	Hematological	Ht	-0.0633	0.0662	-0.9567	0.3387	0.707763714
Metabolic	TC	Hematological	MCV	-0.0418	0.0485	-0.8615	0.38898	0.739798776
Metabolic	TC	Hematological	MCH	-0.0782	0.0498	-1.5713	0.11612	0.440616341
Metabolic	TC	Hematological	MCHC	-0.1432	0.0817	-1.7517	0.079826	0.372584763
Metabolic	TC	Hematological	Plt	0.1055	0.0579	1.8216	0.068518	0.340160933
Metabolic	TC	Blood pressure	SBP	-0.1957	0.056	-3.4913	0.00048073	0.011139282
Metabolic	TC	Blood pressure	DBP	-0.1179	0.0565	-2.0852	0.03705	0.247656928
Metabolic	TC	Blood pressure	MAP	-0.1557	0.0526	-2.9596	0.0030804	0.046217802
Metabolic	TC	Blood pressure	PP	-0.2177	0.0653	-3.333	0.00085907	0.017705885
Metabolic	TC	Echocardiographic	IVS	0.0519	0.1676	0.3096	0.75683	0.917000705
Metabolic	TC	Echocardiographic	PW	-0.0303	0.1182	-0.2569	0.79728	0.933377722
Metabolic	TC	Echocardiographic	LVDd	0.0152	0.0972	0.1564	0.8757	0.961994874
Metabolic	TC	Echocardiographic	LVDs	0.0372	0.0922	0.403	0.68698	0.896110465
Metabolic	TC	Echocardiographic	LVM	0.0341	0.1033	0.3301	0.7413	0.911045882
Metabolic	TC	Echocardiographic	LVMI	0.1254	0.1147	1.0929	0.27444	0.658118212
Metabolic	TC	Echocardiographic	RWT	-0.0375	0.1206	-0.3113	0.75555	0.916717646
Metabolic	TC	Echocardiographic	FS	-0.0866	0.1189	-0.7288	0.46613	0.784091529
Metabolic	TC	Echocardiographic	EF	-0.0369	0.1142	-0.3231	0.74659	0.913068844
Metabolic	TC	Metabolic disease	T2D	-0.0311	0.0653	-0.4754	0.63451	0.870617085
Metabolic	TC	Cardiovascular disease	IS	-0.0246	0.082	-0.3002	0.76402	0.919983548
Metabolic	TC	Cardiovascular disease	CeAn	-0.2024	0.0886	-2.2831	0.022427	0.182586553
Metabolic	TC	Cardiovascular disease	MI	0.1123	0.07	1.6051	0.10848	0.428665671
Metabolic	TC	Cardiovascular disease	PAD	0.1384	0.1051	1.3173	0.18773	0.555445913
Metabolic	TC	Cardiovascular disease	AF	-0.0702	0.0785	-0.8944	0.37109	0.729964418
Metabolic	TC	Allergic disease	Asthma	-0.0983	0.0833	-1.1811	0.23757	0.621874412
Metabolic	TC	Allergic disease	AD	-0.1542	0.1173	-1.3147	0.18862	0.556201747
Metabolic	TC	Autoimmune disease	GD	0.0804	0.091	0.8845	0.37645	0.731614417
Metabolic	TC	Autoimmune disease	RA	-0.0218	0.0782	-0.2794	0.77993	0.924657203
Metabolic	TC	Infectious disease	CHB	-0.0513	0.1567	-0.3276	0.74324	0.911045882
Metabolic	TC	Infectious disease	CHC	0.0486	0.0984	0.4943	0.62111	0.866757962
Metabolic	TC	Hematologic disease	Anemia	0.2773	0.1848	1.501	0.13335	0.470873399
Metabolic	TC	Psychiatric disease	BD	0.1572	0.0956	1.6438	0.10021	0.414384752
Metabolic	TC	Psychiatric disease	SCZ	-0.0088	0.0731	-0.121	0.9037	0.972109646
Metabolic	TC	Musculoskeletal disease	AIS	0.0589	0.0768	0.7675	0.44278	0.769949591
Metabolic	TC	Musculoskeletal	Osteoporosis	0.3577	0.2221	1.6107	0.10725	0.428101722
Metabolic	TC	Tumor	LuCa	0.003	0.1564	0.0191	0.9848	0.995429715
Metabolic	TC	Tumor	GaCa	-0.0092	0.1114	-0.0822	0.93449	0.98135233
Metabolic	TC	Tumor	EsCa	0.0732	0.0993	0.737	0.46115	0.781218287
Metabolic	TC	Tumor	CoCa	-0.0467	0.0977	-0.4782	0.6325	0.870281826
Metabolic	TC	Tumor	PrCa	0.1342	0.0801	1.6747	0.09399	0.40350515
Metabolic	TC	Tumor	BrCa	-0.0103	0.1155	-0.0888	0.92926	0.981003339
Metabolic	TC	Tumor	EnCa	-0.0378	0.1506	-0.2512	0.80169	0.935211682
Metabolic	TC	Tumor	UF	0.0755	0.1105	0.6836	0.49424	0.79953014
Metabolic	TC	Other	Glaucoma	0.0834	0.0983	0.8488	0.39599	0.744697993
Metabolic	TC	Other	COPD	-0.0784	0.1005	-0.78	0.43541	0.768911892
Metabolic	TC	Other	Epilepsy	-0.064	0.1657	-0.3862	0.69932	0.9012973
Metabolic	TC	Other	Pollinosis	-0.0364	0.1387	-0.2624	0.79298	0.930569278
Metabolic	TC	Other	Urolithiasis	-0.0087	0.1001	-0.0868	0.93083	0.981153958
Metabolic	HDL-C	Metabolic	LDL-C	0.1429	0.1799	0.7942	0.4271	0.766586124
Metabolic	HDL-C	Metabolic	TG	-0.7075	0.1235	-5.7303	1.00E-08	5.45E-07
Metabolic	HDL-C	Metabolic	BS	-0.0768	0.1036	-0.7409	0.45876	0.779564321
Metabolic	HDL-C	Metabolic	HbA1c	-0.1586	0.0948	-1.6741	0.094106	0.40350515
Metabolic	HDL-C	Protein	TP	-0.0998	0.077	-1.2951	0.19529	0.569014613
Metabolic	HDL-C	Protein	Alb	0.0777	0.0674	1.1528	0.24898	0.632291969
Metabolic	HDL-C	Protein	NAP	-0.1709	0.0664	-2.5737	0.010062	0.107072804
Metabolic	HDL-C	Protein	A/G	0.1458	0.0582	2.5036	0.012295	0.12251201
Metabolic	HDL-C	Kidney-related	BUN	-0.1528	0.0914	-1.6716	0.094601	0.40350515
Metabolic	HDL-C	Kidney-related	sCr	-0.2037	0.079	-2.5784	0.0099248	0.106758078
Metabolic	HDL-C	Kidney-related	eGFR	0.2055	0.0758	2.711	0.0067079	0.079600413
Metabolic	HDL-C	Kidney-related	UA	-0.1268	0.1225	-1.0349	0.30074	0.677616709
Metabolic	HDL-C	Electrolyte	Na	-0.1432	0.074	-1.9354	0.052936	0.300872702
Metabolic	HDL-C	Electrolyte	K	-0.0369	0.0617	-0.5975	0.55014	0.833797447
Metabolic	HDL-C	Electrolyte	Cl	-0.184	0.0799	-2.3018	0.021346	0.179064957
Metabolic	HDL-C	Electrolyte	Ca	0.1493	0.0764	1.9531	0.05081	0.293468968
Metabolic	HDL-C	Electrolyte	P	0.1299	0.1067	1.2175	0.22341	0.600516047
Metabolic	HDL-C	Liver-related	TBil	0.1122	0.0711	1.5779	0.11458	0.438607312
Metabolic	HDL-C	Liver-related	ZTT	0.0153	0.1536	0.0995	0.92076	0.977889003
Metabolic	HDL-C	Liver-related	AST	0.2102	0.1	2.1011	0.035635	0.243962692
Metabolic	HDL-C	Liver-related	ALT	0.0769	0.1247	0.6171	0.53717	0.826545273
Metabolic	HDL-C	Liver-related	ALP	0.0163	0.0584	0.2791	0.78015	0.924657203
Metabolic	HDL-C	Liver-related	GGT	0.0718	0.1637	0.4387	0.6609	0.884357759
Metabolic	HDL-C	Other biochemical	APTT	-0.1847	0.1218	-1.5172	0.12921	0.462088
Metabolic	HDL-C	Other biochemical	PT	-0.1281	0.0957	-1.338	0.1809	0.546186893
Metabolic	HDL-C	Other biochemical	Fbg	0.1435	0.293	0.4898	0.62427	0.866757962
Metabolic	HDL-C	Other biochemical	CK	0.1688	0.0571	2.9553	0.0031241	0.046517017
Metabolic	HDL-C	Other biochemical	LDH	-0.0037	0.0708	-0.0528	0.95791	0.98966028
Metabolic	HDL-C	Other biochemical	CRP	-0.3403	0.1605	-2.1197	0.034031	0.237667872
Metabolic	HDL-C	Hematological	WBC	-0.2259	0.062	-3.6433	0.0002692	0.006890112
